2021-02-01 17:00 | 1121|
2021-04-13 12:00 | 4931|
2021-04-13 14:00 | 4931|
2021-04-19 12:00 | 6501|
2021-04-20 12:00 | 8000|
2021-04-25 12:00 | 9523|
2021-04-30 12:00 | 10992|
2021-05-01 12:00 | 11505|
2021-05-19 12:00 | 12983|
2021-05-20 12:00 | 11321|
2021-05-25 12:00 | 14906|
2021-05-30 12:00 | 16772|
2021-06-01 12:00 | 18347|
2021-06-03 12:00 | 19234|
2021-06-05 12:00 | 20543|
2021-06-07 12:00 | 21835|
2021-06-09 12:00 | 22524|
2021-06-10 12:00 | 23529|
2021-06-11 12:00 | 24476|
2021-06-13 15:00 | 27001|
2021-06-15 12:00 | 30024|
2021-06-17 12:00 | 33823|
2021-06-19 12:00 | 40284|
2021-06-20 12:00 | 45823|
2021-06-21 12:00 | 51934|
2021-06-22 12:00 | 58284|
2021-06-23 12:00 | 60341|
2021-06-24 15:00 | 64421|
2021-04-13 17:00 | 4685 |
2021-04-13 17:00 | 4685 |
2021-04-13 17:00 |  |
